stacks=results/stacks_qwen2.5_1.5b_holonic_v2_rotated.npz framing=all domains=240 low_rank=0 ridge=10.0
src->dst                     layer | cos_pred cos_offset cos_ident cos_mean | role_rank: pred offset ident mean (of 6) role_center=True
embedded->disturbance           28 |    0.338      0.558     0.558    0.017 |        3.2    3.9   3.9  2.9
embedded->objectified           28 |    0.349      0.542     0.542   -0.001 |        3.0    4.0   4.0  3.3
embedded->new_subject           22 |    0.342      0.491     0.491    0.009 |        2.5    4.1   4.1  3.1
embedded->from_below            28 |    0.441      0.573     0.573   -0.009 |        2.4    3.8   3.8  3.4
embedded->from_above            28 |    0.461      0.553     0.553   -0.007 |        2.6    4.1   4.1  3.8
disturbance->embedded           28 |    0.430      0.558     0.558    0.009 |        2.5    3.6   3.6  3.5
disturbance->objectified        28 |    0.363      0.552     0.552   -0.001 |        2.9    3.5   3.5  3.3
disturbance->new_subject        28 |    0.347      0.504     0.504    0.004 |        3.0    4.2   4.2  3.4
disturbance->from_below         28 |    0.401      0.501     0.501   -0.009 |        2.5    4.2   4.2  3.4
disturbance->from_above         28 |    0.392      0.502     0.502   -0.007 |        2.7    4.4   4.4  3.8
objectified->embedded           22 |    0.395      0.481     0.481   -0.015 |        1.7    3.9   3.9  3.9
objectified->disturbance        28 |    0.414      0.552     0.552    0.017 |        2.7    4.0   4.0  2.9
objectified->new_subject        28 |    0.380      0.601     0.601    0.004 |        2.9    3.2   3.2  3.4
objectified->from_below         28 |    0.395      0.520     0.520   -0.009 |        2.4    4.2   4.2  3.4
objectified->from_above         16 |    0.371      0.243     0.243    0.003 |        1.7    5.0   5.0  3.3
new_subject->embedded           22 |    0.354      0.491     0.491   -0.015 |        2.2    4.0   4.0  3.9
new_subject->disturbance        28 |    0.339      0.504     0.504    0.017 |        3.3    4.6   4.6  2.9
new_subject->objectified        28 |    0.421      0.601     0.601   -0.001 |        2.7    3.3   3.3  3.3
new_subject->from_below         28 |    0.423      0.568     0.568   -0.009 |        2.2    3.6   3.6  3.4
new_subject->from_above         28 |    0.354      0.501     0.501   -0.007 |        2.8    4.5   4.5  3.8
from_below->embedded            28 |    0.399      0.573     0.573    0.009 |        2.8    3.6   3.6  3.5
from_below->disturbance         28 |    0.357      0.501     0.501    0.017 |        3.1    4.7   4.7  2.9
from_below->objectified         28 |    0.360      0.520     0.520   -0.001 |        3.1    4.5   4.5  3.3
from_below->new_subject         28 |    0.429      0.568     0.568    0.004 |        2.7    3.8   3.8  3.4
from_below->from_above          28 |    0.460      0.584     0.584   -0.007 |        2.4    3.4   3.4  3.8
from_above->embedded            28 |    0.412      0.553     0.553    0.009 |        2.5    3.5   3.5  3.5
from_above->disturbance         28 |    0.351      0.502     0.502    0.017 |        3.0    4.4   4.4  2.9
from_above->objectified         28 |    0.364      0.490     0.490   -0.001 |        2.9    4.4   4.4  3.3
from_above->new_subject         28 |    0.362      0.501     0.501    0.004 |        2.9    4.4   4.4  3.4
from_above->from_below          28 |    0.515      0.584     0.584   -0.009 |        1.8    3.3   3.3  3.4
mean role_rank over all pairs & layers: {'role_rank': 2.17, 'role_rank_offset': 4.0, 'role_rank_identity': 4.0, 'role_rank_mean': 3.46}
mean role_rank at each pair's best layer: {'role_rank': 1.71, 'role_rank_offset': 3.68, 'role_rank_identity': 3.68, 'role_rank_mean': 3.08}
exit 0
