[1/73] picard (89, 3584) 5s
[2/73] debt/medieval/betrayal (88, 3584) 8s
[3/73] debt/medieval/sacrifice (71, 3584) 12s
[4/73] debt/medieval/homecoming (85, 3584) 15s
[5/73] debt/1920s/betrayal (77, 3584) 18s
[6/73] debt/1920s/sacrifice (75, 3584) 21s
[7/73] debt/1920s/homecoming (73, 3584) 24s
[8/73] debt/farfuture/betrayal (93, 3584) 27s
[9/73] debt/farfuture/sacrifice (79, 3584) 30s
[10/73] debt/farfuture/homecoming (80, 3584) 33s
[11/73] message/medieval/betrayal (81, 3584) 36s
[12/73] message/medieval/sacrifice (74, 3584) 39s
[13/73] message/medieval/homecoming (89, 3584) 42s
[14/73] message/1920s/betrayal (83, 3584) 45s
[15/73] message/1920s/sacrifice (76, 3584) 48s
[16/73] message/1920s/homecoming (68, 3584) 51s
[17/73] message/farfuture/betrayal (78, 3584) 54s
[18/73] message/farfuture/sacrifice (74, 3584) 56s
[19/73] message/farfuture/homecoming (76, 3584) 60s
[20/73] door/medieval/betrayal (84, 3584) 63s
[21/73] door/medieval/sacrifice (85, 3584) 65s
[22/73] door/medieval/homecoming (88, 3584) 69s
[23/73] door/1920s/betrayal (84, 3584) 72s
[24/73] door/1920s/sacrifice (75, 3584) 74s
[25/73] door/1920s/homecoming (84, 3584) 78s
[26/73] door/farfuture/betrayal (72, 3584) 80s
[27/73] door/farfuture/sacrifice (67, 3584) 83s
[28/73] door/farfuture/homecoming (94, 3584) 86s
[29/73] meal/medieval/betrayal (74, 3584) 90s
[30/73] meal/medieval/sacrifice (80, 3584) 92s
[31/73] meal/medieval/homecoming (86, 3584) 95s
[32/73] meal/1920s/betrayal (68, 3584) 98s
[33/73] meal/1920s/sacrifice (69, 3584) 102s
[34/73] meal/1920s/homecoming (78, 3584) 104s
[35/73] meal/farfuture/betrayal (76, 3584) 107s
[36/73] meal/farfuture/sacrifice (71, 3584) 110s
[37/73] meal/farfuture/homecoming (73, 3584) 113s
[38/73] mood/gate/medieval/dread (39, 3584) 116s
[39/73] mood/gate/medieval/tender (41, 3584) 119s
[40/73] mood/gate/medieval/comic (43, 3584) 123s
[41/73] mood/gate/1920s/dread (40, 3584) 125s
[42/73] mood/gate/1920s/tender (40, 3584) 128s
[43/73] mood/gate/1920s/comic (40, 3584) 132s
[44/73] mood/gate/farfuture/dread (43, 3584) 135s
[45/73] mood/gate/farfuture/tender (43, 3584) 138s
[46/73] mood/gate/farfuture/comic (50, 3584) 141s
[47/73] mood/theft/medieval/dread (34, 3584) 144s
[48/73] mood/theft/medieval/tender (39, 3584) 147s
[49/73] mood/theft/medieval/comic (43, 3584) 150s
[50/73] mood/theft/1920s/dread (46, 3584) 153s
[51/73] mood/theft/1920s/tender (39, 3584) 156s
[52/73] mood/theft/1920s/comic (41, 3584) 159s
[53/73] mood/theft/farfuture/dread (43, 3584) 162s
[54/73] mood/theft/farfuture/tender (40, 3584) 165s
[55/73] mood/theft/farfuture/comic (45, 3584) 168s
[56/73] mood/farewell/medieval/dread (38, 3584) 171s
[57/73] mood/farewell/medieval/tender (42, 3584) 174s
[58/73] mood/farewell/medieval/comic (40, 3584) 177s
[59/73] mood/farewell/1920s/dread (39, 3584) 180s
[60/73] mood/farewell/1920s/tender (37, 3584) 183s
[61/73] mood/farewell/1920s/comic (39, 3584) 186s
[62/73] mood/farewell/farfuture/dread (39, 3584) 189s
[63/73] mood/farewell/farfuture/tender (44, 3584) 192s
[64/73] mood/farewell/farfuture/comic (38, 3584) 195s
[65/73] mood/storm/medieval/dread (38, 3584) 198s
[66/73] mood/storm/medieval/tender (41, 3584) 201s
[67/73] mood/storm/medieval/comic (43, 3584) 205s
[68/73] mood/storm/1920s/dread (41, 3584) 208s
[69/73] mood/storm/1920s/tender (41, 3584) 211s
[70/73] mood/storm/1920s/comic (44, 3584) 214s
[71/73] mood/storm/farfuture/dread (47, 3584) 217s
[72/73] mood/storm/farfuture/tender (44, 3584) 220s
[73/73] mood/storm/farfuture/comic (48, 3584) 223s
saved results/tokens_gemma9b_l20.npz
exit 0
