layer,arm_a,arm_b,n,d_acts,d_acts_p,d_floor,d_floor_p,gain,gain_lo,gain_hi,gain_p,clears,in_window,holm_p,holm_clears,family
emb,exit,exit_c,24,0.2807,0.0,0.2807,0.0,0.0,0.0,0.0,1.0,0,0,1.0,0,prereg
emb,exit,exit_b,24,0.5862,0.0,0.5862,0.0,0.0,0.0,0.0,1.0,0,0,1.0,0,prereg
emb,exit_c,enact,24,-0.049,0.1448,-0.049,0.15,0.0,0.0,0.0,1.0,0,0,1.0,0,prereg
emb,enact,exit_b,24,0.3545,0.0,0.3545,0.0,0.0,0.0,0.0,1.0,0,0,,,continuity
emb,enact,exit_c,24,0.049,0.143,0.049,0.1498,0.0,0.0,0.0,1.0,0,0,,,continuity
emb,enact,exit,24,-0.2317,0.0,-0.2317,0.0,0.0,0.0,0.0,1.0,0,0,,,continuity
emb,neutral,neutral_b,24,-0.041,0.5642,-0.041,0.5596,0.0,0.0,0.0,1.0,0,0,,,floor
0,exit,exit_c,24,0.4797,0.0,0.2807,0.0,0.199,-0.0828,0.0824,0.0,1,0,0.0,1,prereg
0,exit,exit_b,24,1.2059,0.0,0.5862,0.0,0.6198,-0.2477,0.2471,0.0,1,0,0.0,1,prereg
0,exit_c,enact,24,0.3327,0.0002,-0.049,0.144,0.3817,-0.1807,0.1761,0.0,1,0,0.0,1,prereg
0,enact,exit_b,24,0.3936,0.0,0.3545,0.0,0.0391,-0.1147,0.1088,0.5022,0,0,,,continuity
0,enact,exit_c,24,-0.3327,0.0,0.049,0.1526,-0.3817,-0.1789,0.1813,0.0,1,0,,,continuity
0,enact,exit,24,-0.8123,0.0,-0.2317,0.0,-0.5807,-0.253,0.2507,0.0,1,0,,,continuity
0,neutral,neutral_b,24,0.1075,0.2198,-0.041,0.566,0.1485,-0.1137,0.1157,0.0088,1,0,,,floor
1,exit,exit_c,24,0.579,0.0,0.2807,0.0,0.2983,-0.1221,0.1213,0.0,1,0,0.0,1,prereg
1,exit,exit_b,24,1.8912,0.0,0.5862,0.0,1.3051,-0.5401,0.5284,0.0,1,0,0.0,1,prereg
1,exit_c,enact,24,0.2001,0.0048,-0.049,0.1474,0.2492,-0.1468,0.1418,0.0002,1,0,0.0002,1,prereg
1,enact,exit_b,24,1.1121,0.0,0.3545,0.0,0.7576,-0.323,0.3238,0.0,1,0,,,continuity
1,enact,exit_c,24,-0.2001,0.0038,0.049,0.1416,-0.2492,-0.149,0.1435,0.0002,1,0,,,continuity
1,enact,exit,24,-0.7791,0.0,-0.2317,0.0,-0.5474,-0.2456,0.244,0.0,1,0,,,continuity
1,neutral,neutral_b,24,0.2018,0.0652,-0.041,0.5778,0.2428,-0.1696,0.1721,0.0028,1,0,,,floor
2,exit,exit_c,24,0.4377,0.0,0.2807,0.0,0.157,-0.065,0.0682,0.0,1,0,0.0,1,prereg
2,exit,exit_b,24,1.6882,0.0,0.5862,0.0,1.102,-0.4487,0.4489,0.0,1,0,0.0,1,prereg
2,exit_c,enact,24,0.2902,0.0,-0.049,0.146,0.3392,-0.1788,0.173,0.0,1,0,0.0,1,prereg
2,enact,exit_b,24,0.9603,0.0,0.3545,0.0,0.6058,-0.2623,0.2549,0.0,1,0,,,continuity
2,enact,exit_c,24,-0.2902,0.0,0.049,0.1542,-0.3392,-0.1758,0.1728,0.0,1,0,,,continuity
2,enact,exit,24,-0.7279,0.0,-0.2317,0.0,-0.4963,-0.2274,0.2238,0.0,1,0,,,continuity
2,neutral,neutral_b,24,0.177,0.1036,-0.041,0.5574,0.218,-0.1664,0.1713,0.0072,1,0,,,floor
3,exit,exit_c,24,0.443,0.0,0.2807,0.0,0.1623,-0.0698,0.07,0.0,1,0,0.0,1,prereg
3,exit,exit_b,24,1.5816,0.0,0.5862,0.0,0.9954,-0.4031,0.4073,0.0,1,0,0.0,1,prereg
3,exit_c,enact,24,0.2716,0.0,-0.049,0.1472,0.3206,-0.1609,0.1628,0.0,1,0,0.0,1,prereg
3,enact,exit_b,24,0.8669,0.0,0.3545,0.0,0.5124,-0.2214,0.2178,0.0,1,0,,,continuity
3,enact,exit_c,24,-0.2716,0.0,0.049,0.149,-0.3206,-0.1611,0.1644,0.0,1,0,,,continuity
3,enact,exit,24,-0.7146,0.0,-0.2317,0.0,-0.4829,-0.2145,0.2177,0.0,1,0,,,continuity
3,neutral,neutral_b,24,0.0813,0.4084,-0.041,0.561,0.1223,-0.16,0.1614,0.141,0,0,,,floor
4,exit,exit_c,24,1.1892,0.0,0.2807,0.0,0.9085,-0.3753,0.3797,0.0,1,0,0.0,1,prereg
4,exit,exit_b,24,2.1511,0.0,0.5862,0.0,1.5649,-0.6383,0.647,0.0,1,0,0.0,1,prereg
4,exit_c,enact,24,0.1693,0.0008,-0.049,0.1476,0.2183,-0.1153,0.1183,0.0,1,0,0.0,1,prereg
4,enact,exit_b,24,0.7926,0.0,0.3545,0.0,0.4381,-0.1892,0.1907,0.0,1,0,,,continuity
4,enact,exit_c,24,-0.1693,0.0014,0.049,0.1462,-0.2183,-0.1193,0.1151,0.0002,1,0,,,continuity
4,enact,exit,24,-1.3585,0.0,-0.2317,0.0,-1.1268,-0.4841,0.4894,0.0,1,0,,,continuity
4,neutral,neutral_b,24,0.1724,0.1224,-0.041,0.5832,0.2134,-0.2062,0.2146,0.0468,1,0,,,floor
5,exit,exit_c,24,0.7078,0.0,0.2807,0.0,0.4271,-0.1937,0.1976,0.0,1,0,0.0,1,prereg
5,exit,exit_b,24,1.4881,0.0,0.5862,0.0,0.902,-0.3712,0.3829,0.0,1,0,0.0,1,prereg
5,exit_c,enact,24,0.2286,0.0,-0.049,0.1378,0.2776,-0.1252,0.1285,0.0,1,0,0.0,1,prereg
5,enact,exit_b,24,0.5517,0.0,0.3545,0.0,0.1973,-0.1029,0.1049,0.0,1,0,,,continuity
5,enact,exit_c,24,-0.2286,0.0,0.049,0.15,-0.2776,-0.1272,0.1295,0.0,1,0,,,continuity
5,enact,exit,24,-0.9364,0.0,-0.2317,0.0,-0.7047,-0.3066,0.3114,0.0,1,0,,,continuity
