layer,arm_a,arm_b,n,d_acts,d_acts_p,d_floor,d_floor_p,gain,gain_lo,gain_hi,gain_p,clears,in_window
emb,enact,report,24,0.054,0.001,0.054,0.0008,0.0,0.0,0.0,1.0,0,0
emb,enact,exit,24,-0.2317,0.0,-0.2317,0.0,0.0,0.0,0.0,1.0,0,0
emb,enact,true,24,-0.1504,0.02,-0.1504,0.015,0.0,0.0,0.0,1.0,0,0
emb,enact,neutral,24,0.2406,0.0128,0.2406,0.0118,0.0,0.0,0.0,1.0,0,0
emb,report,exit,24,-0.2856,0.0,-0.2856,0.0,0.0,0.0,0.0,1.0,0,0
emb,report,neutral,24,0.1866,0.0356,0.1866,0.0364,0.0,0.0,0.0,1.0,0,0
emb,exit,neutral,24,0.4722,0.0,0.4722,0.0,0.0,0.0,0.0,1.0,0,0
emb,true,neutral,24,0.391,0.0,0.391,0.0,0.0,0.0,0.0,1.0,0,0
emb,enact,enact_norecord,24,-0.4973,0.0008,-0.4973,0.0006,0.0,0.0,0.0,1.0,0,0
emb,enact_norecord,neutral,24,0.7379,0.0008,0.7379,0.0,0.0,0.0,0.0,1.0,0,0
emb,neutral,neutral_b,24,-0.041,0.5676,-0.041,0.5596,0.0,0.0,0.0,1.0,0,0
emb,enact,neutral_b,24,0.1996,0.0144,0.1996,0.0144,0.0,0.0,0.0,1.0,0,0
0,enact,report,24,-0.2095,0.0,0.054,0.001,-0.2634,-0.1219,0.1206,0.0,1,0
0,enact,exit,24,-0.8123,0.0,-0.2317,0.0,-0.5807,-0.2537,0.2476,0.0,1,0
0,enact,true,24,-0.203,0.0072,-0.1504,0.0146,-0.0526,-0.1281,0.1303,0.4416,0,0
0,enact,neutral,24,0.5978,0.0,0.2406,0.0104,0.3572,-0.2013,0.2024,0.0,1,0
0,report,exit,24,-0.6029,0.0,-0.2856,0.0,-0.3172,-0.1617,0.1556,0.0,1,0
0,report,neutral,24,0.8072,0.0,0.1866,0.0344,0.6206,-0.2826,0.2875,0.0,1,0
0,exit,neutral,24,1.4101,0.0,0.4722,0.0,0.9379,-0.4048,0.4021,0.0,1,0
0,true,neutral,24,0.8008,0.0,0.391,0.0,0.4098,-0.2002,0.2018,0.0,1,0
0,enact,enact_norecord,24,-0.6556,0.0,-0.4973,0.0006,-0.1583,-0.2465,0.2477,0.221,0,0
0,enact_norecord,neutral,24,1.2534,0.0,0.7379,0.0002,0.5155,-0.3735,0.373,0.0032,1,0
0,neutral,neutral_b,24,0.1075,0.2286,-0.041,0.573,0.1485,-0.1177,0.1155,0.0094,1,0
0,enact,neutral_b,24,0.7053,0.0,0.1996,0.0176,0.5057,-0.2531,0.2428,0.0,1,0
1,enact,report,24,-0.2311,0.0016,0.054,0.0004,-0.285,-0.1631,0.1631,0.0,1,0
1,enact,exit,24,-0.7791,0.0,-0.2317,0.0,-0.5474,-0.2483,0.2403,0.0,1,0
1,enact,true,24,-0.2111,0.0072,-0.1504,0.0162,-0.0606,-0.1157,0.1181,0.3208,0,0
1,enact,neutral,24,0.4725,0.0,0.2406,0.0106,0.2319,-0.1668,0.1639,0.0026,1,0
1,report,exit,24,-0.5481,0.0,-0.2856,0.0,-0.2624,-0.1468,0.1441,0.0,1,0
1,report,neutral,24,0.7035,0.0,0.1866,0.0318,0.5169,-0.2905,0.2843,0.0002,1,0
1,exit,neutral,24,1.2516,0.0,0.4722,0.0002,0.7793,-0.3726,0.3787,0.0,1,0
1,true,neutral,24,0.6835,0.0,0.391,0.0,0.2925,-0.1942,0.1948,0.001,1,0
1,enact,enact_norecord,24,-0.1836,0.0864,-0.4973,0.0004,0.3138,-0.2813,0.2718,0.0234,1,0
1,enact_norecord,neutral,24,0.656,0.0,0.7379,0.0004,-0.0819,-0.3531,0.3277,0.6458,0,0
1,neutral,neutral_b,24,0.2018,0.0584,-0.041,0.561,0.2428,-0.1729,0.1713,0.0026,1,0
1,enact,neutral_b,24,0.6742,0.0,0.1996,0.0176,0.4747,-0.2578,0.2632,0.0,1,0
2,enact,report,24,-0.0763,0.224,0.054,0.0004,-0.1302,-0.1205,0.1219,0.0324,1,0
2,enact,exit,24,-0.7279,0.0,-0.2317,0.0,-0.4963,-0.2296,0.2258,0.0,1,0
2,enact,true,24,-0.1116,0.1288,-0.1504,0.0122,0.0389,-0.12,0.1218,0.5518,0,0
2,enact,neutral,24,0.3628,0.0002,0.2406,0.012,0.1222,-0.1577,0.1544,0.1308,0,0
2,report,exit,24,-0.6517,0.0,-0.2856,0.0,-0.366,-0.1738,0.1782,0.0,1,0
2,report,neutral,24,0.4391,0.0002,0.1866,0.0324,0.2525,-0.2206,0.2167,0.0218,1,0
2,exit,neutral,24,1.0907,0.0,0.4722,0.0,0.6185,-0.3279,0.3277,0.0,1,0
2,true,neutral,24,0.4743,0.0,0.391,0.0,0.0833,-0.1475,0.1445,0.294,0,0
2,enact,enact_norecord,24,-1.0298,0.0,-0.4973,0.0,-0.5325,-0.3333,0.3265,0.0006,1,0
2,enact_norecord,neutral,24,1.3926,0.0,0.7379,0.0004,0.6547,-0.4258,0.4401,0.001,1,0
2,neutral,neutral_b,24,0.177,0.1044,-0.041,0.5666,0.218,-0.1721,0.167,0.0074,1,0
2,enact,neutral_b,24,0.5398,0.0,0.1996,0.015,0.3402,-0.2238,0.225,0.0012,1,0
3,enact,report,24,-0.0776,0.2054,0.054,0.0008,-0.1316,-0.1225,0.1178,0.0262,1,0
3,enact,exit,24,-0.7146,0.0,-0.2317,0.0,-0.4829,-0.2209,0.2251,0.0,1,0
3,enact,true,24,-0.073,0.3308,-0.1504,0.0168,0.0774,-0.1274,0.1233,0.252,0,0
3,enact,neutral,24,0.3599,0.0016,0.2406,0.0114,0.1194,-0.1567,0.1546,0.1296,0,0
3,report,exit,24,-0.637,0.0,-0.2856,0.0,-0.3514,-0.1709,0.168,0.0,1,0
3,report,neutral,24,0.4375,0.0,0.1866,0.034,0.2509,-0.1981,0.1985,0.0108,1,0
3,exit,neutral,24,1.0745,0.0,0.4722,0.0002,0.6023,-0.3228,0.318,0.0,1,0
3,true,neutral,24,0.4329,0.0006,0.391,0.0,0.0419,-0.158,0.1561,0.6152,0,0
3,enact,enact_norecord,24,-1.2406,0.0,-0.4973,0.0006,-0.7433,-0.3983,0.4059,0.0002,1,0
3,enact_norecord,neutral,24,1.6005,0.0,0.7379,0.0002,0.8627,-0.4935,0.4824,0.0,1,0
3,neutral,neutral_b,24,0.0813,0.3992,-0.041,0.5668,0.1223,-0.1573,0.1576,0.1358,0,0
3,enact,neutral_b,24,0.4412,0.0,0.1996,0.016,0.2416,-0.1971,0.2051,0.015,1,0
4,enact,report,24,0.1038,0.0456,0.054,0.001,0.0498,-0.0888,0.0866,0.2838,0,0
4,enact,exit,24,-1.3585,0.0,-0.2317,0.0,-1.1268,-0.4852,0.4874,0.0,1,0
4,enact,true,24,-0.2743,0.0004,-0.1504,0.0132,-0.1239,-0.1215,0.1175,0.0428,1,0
4,enact,neutral,24,0.3663,0.0016,0.2406,0.0112,0.1257,-0.1495,0.1496,0.1052,0,0
4,report,exit,24,-1.4623,0.0,-0.2856,0.0,-1.1766,-0.498,0.4994,0.0,1,0
4,report,neutral,24,0.2625,0.0212,0.1866,0.0316,0.0759,-0.1554,0.151,0.345,0,0
4,exit,neutral,24,1.7248,0.0,0.4722,0.0002,1.2525,-0.547,0.5506,0.0,1,0
4,true,neutral,24,0.6406,0.0,0.391,0.0,0.2496,-0.1484,0.1497,0.0004,1,0
4,enact,enact_norecord,24,-0.7488,0.0,-0.4973,0.0008,-0.2515,-0.2868,0.2904,0.0922,0,0
4,enact_norecord,neutral,24,1.1151,0.0,0.7379,0.0004,0.3772,-0.3344,0.3457,0.027,1,0
4,neutral,neutral_b,24,0.1724,0.1322,-0.041,0.5646,0.2134,-0.2176,0.2171,0.0538,0,0
4,enact,neutral_b,24,0.5386,0.0,0.1996,0.014,0.3391,-0.2316,0.231,0.0028,1,0
5,enact,report,24,0.2581,0.0,0.054,0.0002,0.2041,-0.0997,0.1001,0.0002,1,0
5,enact,exit,24,-0.9364,0.0,-0.2317,0.0,-0.7047,-0.3093,0.3172,0.0,1,0
5,enact,true,24,-0.1419,0.0048,-0.1504,0.014,0.0086,-0.1047,0.102,0.8734,0,0
5,enact,neutral,24,0.2904,0.0006,0.2406,0.0094,0.0499,-0.1574,0.1573,0.5426,0,0
5,report,exit,24,-1.1945,0.0,-0.2856,0.0,-0.9089,-0.3799,0.3772,0.0,1,0
5,report,neutral,24,0.0323,0.6712,0.1866,0.0376,-0.1543,-0.1599,0.1646,0.0648,0,0
5,exit,neutral,24,1.2268,0.0,0.4722,0.0002,0.7546,-0.3773,0.3728,0.0,1,0
5,true,neutral,24,0.4323,0.0,0.391,0.0,0.0413,-0.1172,0.1187,0.502,0,0
5,enact,enact_norecord,24,-0.7421,0.0,-0.4973,0.001,-0.2448,-0.284,0.2855,0.0986,0,0
5,enact_norecord,neutral,24,1.0325,0.0,0.7379,0.0002,0.2946,-0.3511,0.3513,0.1068,0,0
