item,arm,layer,readout,value
fact01,enact,9,top5,-20.747751235961914
fact01,report,9,top5,-21.347108840942383
fact01,exit,9,top5,-21.2727108001709
fact01,true,9,top5,-19.999902725219727
fact01,neutral,9,top5,-18.97884750366211
fact01,enact_norecord,9,top5,-24.850406646728516
fact02,enact,9,top5,-21.750892639160156
fact02,report,9,top5,-23.03473472595215
fact02,exit,9,top5,-22.361684799194336
fact02,true,9,top5,-21.647010803222656
fact02,neutral,9,top5,-21.50900650024414
fact02,enact_norecord,9,top5,-23.594295501708984
fact03,enact,9,top5,-20.762794494628906
fact03,report,9,top5,-22.14634895324707
fact03,exit,9,top5,-22.040122985839844
fact03,true,9,top5,-20.664302825927734
fact03,neutral,9,top5,-19.50382423400879
fact03,enact_norecord,9,top5,-22.313508987426758
fact04,enact,9,top5,-20.745800018310547
fact04,report,9,top5,-21.567394256591797
fact04,exit,9,top5,-21.136844635009766
fact04,true,9,top5,-20.844690322875977
fact04,neutral,9,top5,-20.64037322998047
fact04,enact_norecord,9,top5,-23.558740615844727
fact05,enact,9,top5,-19.489864349365234
fact05,report,9,top5,-21.894649505615234
fact05,exit,9,top5,-21.368864059448242
fact05,true,9,top5,-19.14143180847168
fact05,neutral,9,top5,-19.108034133911133
fact05,enact_norecord,9,top5,-24.120262145996094
fact06,enact,9,top5,-20.64230728149414
fact06,report,9,top5,-21.917123794555664
fact06,exit,9,top5,-21.833667755126953
fact06,true,9,top5,-20.43526840209961
fact06,neutral,9,top5,-20.278087615966797
fact06,enact_norecord,9,top5,-23.603778839111328
refusal01,enact,9,top5,-20.12208366394043
refusal01,report,9,top5,-21.443134307861328
refusal01,exit,9,top5,-20.99065399169922
refusal01,true,9,top5,-21.87897491455078
refusal01,neutral,9,top5,-20.24967384338379
refusal01,enact_norecord,9,top5,-21.94504165649414
refusal02,enact,9,top5,-19.30104637145996
refusal02,report,9,top5,-21.429576873779297
refusal02,exit,9,top5,-19.662200927734375
refusal02,true,9,top5,-19.90673065185547
refusal02,neutral,9,top5,-19.148426055908203
refusal02,enact_norecord,9,top5,-21.9940242767334
refusal03,enact,9,top5,-19.658428192138672
refusal03,report,9,top5,-21.471115112304688
refusal03,exit,9,top5,-19.81694793701172
refusal03,true,9,top5,-20.029281616210938
refusal03,neutral,9,top5,-19.861282348632812
refusal03,enact_norecord,9,top5,-20.910682678222656
refusal04,enact,9,top5,-17.815380096435547
refusal04,report,9,top5,-19.69657325744629
refusal04,exit,9,top5,-18.14779281616211
refusal04,true,9,top5,-17.890396118164062
refusal04,neutral,9,top5,-17.82484245300293
refusal04,enact_norecord,9,top5,-21.498199462890625
refusal05,enact,9,top5,-20.87373161315918
refusal05,report,9,top5,-22.367536544799805
refusal05,exit,9,top5,-20.679237365722656
refusal05,true,9,top5,-18.62360382080078
refusal05,neutral,9,top5,-20.616443634033203
refusal05,enact_norecord,9,top5,-23.723844528198242
refusal06,enact,9,top5,-20.225622177124023
refusal06,report,9,top5,-21.109663009643555
refusal06,exit,9,top5,-20.352344512939453
refusal06,true,9,top5,-17.93708610534668
refusal06,neutral,9,top5,-18.62738609313965
refusal06,enact_norecord,9,top5,-23.555042266845703
stance01,enact,9,top5,-19.780170440673828
