extraction,dataset,layer,treatment,random_mean,random_lo,random_hi,randfix_mean,randfix_lo,randfix_hi,shuffled_mean,shuffled_lo,shuffled_hi,floor_mean_bag,gain_over_floor
final_token,S1_1P,emb,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.775,-0.275
final_token,S1_1P,0,0.731,0.4978,0.4094,0.5868,0.4983,0.3657,0.6325,0.4975,0.3887,0.6,0.775,-0.044
final_token,S1_1P,1,0.7785,0.4984,0.4097,0.5853,0.4931,0.345,0.6476,0.4979,0.3787,0.6013,0.775,0.0035
final_token,S1_1P,2,0.779,0.4993,0.4147,0.58,0.494,0.3562,0.6458,0.5017,0.3865,0.5963,0.775,0.004
final_token,S1_1P,3,0.7995,0.5002,0.4075,0.585,0.499,0.3522,0.644,0.4997,0.3856,0.601,0.775,0.0245
final_token,S1_1P,4,0.798,0.4989,0.4097,0.594,0.5045,0.3575,0.6455,0.4997,0.3847,0.5998,0.775,0.023
final_token,S1_1P,5,0.7915,0.498,0.3985,0.5939,0.4999,0.3391,0.6435,0.5004,0.3909,0.6103,0.775,0.0165
final_token,S1_1P,6,0.7705,0.4977,0.408,0.5855,0.504,0.3546,0.6445,0.5026,0.3832,0.6095,0.775,-0.0045
final_token,S1_1P,7,0.791,0.502,0.4102,0.5904,0.5033,0.3462,0.6553,0.5012,0.386,0.6058,0.775,0.016
final_token,S1_1P,8,0.7765,0.4997,0.4044,0.6058,0.4999,0.3402,0.668,0.5019,0.3867,0.6098,0.775,0.0015
final_token,S1_1P,9,0.7855,0.502,0.4107,0.5965,0.4924,0.3297,0.6646,0.5021,0.3911,0.6024,0.775,0.0105
final_token,S1_1P,10,0.82,0.5016,0.3982,0.604,0.5033,0.3345,0.6785,0.5006,0.3817,0.6051,0.775,0.045
final_token,S1_1P,11,0.809,0.5023,0.403,0.6073,0.502,0.3281,0.6751,0.4988,0.3856,0.5993,0.775,0.034
final_token,S1_1P,12,0.7935,0.4994,0.3967,0.5923,0.5,0.3374,0.6826,0.5002,0.3855,0.6003,0.775,0.0185
final_token,S1_1P,13,0.814,0.5,0.3974,0.599,0.4941,0.3241,0.6718,0.5003,0.3792,0.6098,0.775,0.039
final_token,S1_1P,14,0.8245,0.4997,0.4006,0.6131,0.5,0.3435,0.6713,0.5002,0.3862,0.6083,0.775,0.0495
final_token,S1_1P,15,0.8505,0.5,0.4062,0.6008,0.5031,0.3105,0.6964,0.5011,0.3842,0.612,0.775,0.0755
final_token,S1_1P,16,0.849,0.4975,0.3952,0.5955,0.5032,0.3279,0.6903,0.501,0.3907,0.61,0.775,0.074
final_token,S1_1P,17,0.842,0.5034,0.3949,0.6028,0.5006,0.3167,0.6734,0.4995,0.3952,0.6083,0.775,0.067
final_token,S1_1P,18,0.8425,0.4977,0.403,0.6108,0.4973,0.3097,0.6824,0.5002,0.3959,0.6075,0.775,0.0675
final_token,S1_1P,19,0.84,0.4979,0.3809,0.6123,0.4963,0.3002,0.6946,0.5006,0.396,0.6088,0.775,0.065
final_token,S1_1P,20,0.8615,0.4983,0.3887,0.608,0.5006,0.308,0.6864,0.5004,0.3964,0.608,0.775,0.0865
final_token,S1_1P,21,0.8575,0.4996,0.3825,0.6117,0.5014,0.3014,0.6886,0.5008,0.3921,0.609,0.775,0.0825
final_token,S1_1P,22,0.8565,0.4965,0.3773,0.6023,0.5054,0.2984,0.7084,0.5017,0.3886,0.606,0.775,0.0815
final_token,S1_1P,23,0.86,0.4985,0.3832,0.6178,0.4974,0.2785,0.7133,0.5015,0.3904,0.6055,0.775,0.085
final_token,S1_1P,24,0.863,0.5,0.3857,0.6088,0.5022,0.3002,0.7173,0.5003,0.4011,0.6005,0.775,0.088
final_token,S1_1P,25,0.868,0.5037,0.3944,0.611,0.4985,0.3082,0.6991,0.4999,0.4012,0.599,0.775,0.093
final_token,S1_1P,26,0.8635,0.501,0.3759,0.6158,0.4996,0.2817,0.6998,0.4992,0.3952,0.6008,0.775,0.0885
final_token,S1_1P,27,0.875,0.5031,0.3917,0.6198,0.4935,0.2942,0.6965,0.4984,0.3965,0.61,0.775,0.1
final_token,S1_3P,emb,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8245,-0.3245
final_token,S1_3P,0,0.778,0.4986,0.391,0.6098,0.4971,0.2979,0.6754,0.4986,0.3897,0.5974,0.8245,-0.0465
final_token,S1_3P,1,0.7915,0.4976,0.3982,0.5935,0.4987,0.3257,0.6838,0.4965,0.3927,0.5973,0.8245,-0.033
final_token,S1_3P,2,0.7445,0.4999,0.4257,0.5836,0.4943,0.3461,0.6363,0.4993,0.3812,0.603,0.8245,-0.08
final_token,S1_3P,3,0.79,0.5003,0.4122,0.594,0.5005,0.3592,0.6365,0.499,0.3809,0.6068,0.8245,-0.0345
final_token,S1_3P,4,0.7535,0.4981,0.408,0.5865,0.5023,0.3486,0.6438,0.498,0.3817,0.598,0.8245,-0.071
final_token,S1_3P,5,0.7585,0.4973,0.4067,0.5858,0.5021,0.3495,0.6558,0.5015,0.3912,0.6148,0.8245,-0.066
final_token,S1_3P,6,0.7915,0.4998,0.4127,0.582,0.5018,0.3471,0.6459,0.5021,0.3951,0.6061,0.8245,-0.033
final_token,S1_3P,7,0.808,0.502,0.4102,0.59,0.5035,0.3269,0.6663,0.5034,0.3852,0.6068,0.8245,-0.0165
final_token,S1_3P,8,0.8385,0.4983,0.396,0.6045,0.5021,0.332,0.6683,0.5021,0.3887,0.602,0.8245,0.014
final_token,S1_3P,9,0.829,0.5016,0.3992,0.5933,0.4941,0.3245,0.6679,0.5037,0.397,0.5995,0.8245,0.0045
final_token,S1_3P,10,0.836,0.5016,0.3869,0.6108,0.4963,0.3017,0.6845,0.5014,0.388,0.6108,0.8245,0.0115
final_token,S1_3P,11,0.856,0.5002,0.4024,0.601,0.5039,0.3285,0.6876,0.5019,0.3955,0.6048,0.8245,0.0315
final_token,S1_3P,12,0.852,0.5022,0.4077,0.6025,0.5026,0.3035,0.6794,0.5031,0.3947,0.6035,0.8245,0.0275
final_token,S1_3P,13,0.8925,0.4983,0.3939,0.6044,0.498,0.3277,0.6755,0.5038,0.3967,0.6055,0.8245,0.068
final_token,S1_3P,14,0.8735,0.5018,0.3962,0.608,0.4965,0.318,0.6698,0.5048,0.398,0.6061,0.8245,0.049
final_token,S1_3P,15,0.902,0.4995,0.4005,0.6116,0.5033,0.3077,0.6816,0.5043,0.3897,0.6095,0.8245,0.0775
final_token,S1_3P,16,0.891,0.5014,0.3927,0.6013,0.4995,0.313,0.6865,0.5024,0.3915,0.6033,0.8245,0.0665
final_token,S1_3P,17,0.8805,0.5022,0.3886,0.6086,0.5047,0.3172,0.6918,0.5024,0.3979,0.5993,0.8245,0.056
final_token,S1_3P,18,0.8675,0.5007,0.3897,0.6113,0.5019,0.3184,0.6918,0.5026,0.3927,0.6013,0.8245,0.043
final_token,S1_3P,19,0.856,0.4997,0.3827,0.6078,0.5006,0.3169,0.6963,0.5034,0.398,0.5998,0.8245,0.0315
final_token,S1_3P,20,0.8735,0.5015,0.391,0.614,0.5009,0.31,0.6908,0.5028,0.3947,0.601,0.8245,0.049
final_token,S1_3P,21,0.8655,0.5001,0.3799,0.6123,0.4987,0.3252,0.6955,0.5027,0.4052,0.5988,0.8245,0.041
final_token,S1_3P,22,0.858,0.4994,0.3811,0.61,0.5038,0.2969,0.7038,0.5025,0.401,0.6033,0.8245,0.0335
final_token,S1_3P,23,0.87,0.4995,0.3867,0.6098,0.502,0.3171,0.6984,0.5025,0.4038,0.6016,0.8245,0.0455
final_token,S1_3P,24,0.8895,0.5002,0.3904,0.6063,0.499,0.2757,0.7018,0.5018,0.4002,0.6003,0.8245,0.065
final_token,S1_3P,25,0.891,0.5061,0.3931,0.6171,0.4966,0.2977,0.7041,0.5014,0.401,0.5996,0.8245,0.0665
final_token,S1_3P,26,0.87,0.5024,0.3945,0.6103,0.5002,0.2854,0.7095,0.5009,0.4022,0.6008,0.8245,0.0455
final_token,S1_3P,27,0.8875,0.503,0.3912,0.6133,0.4962,0.2982,0.6971,0.4989,0.3872,0.6058,0.8245,0.063
final_token,S2_1P,emb,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8715,-0.3715
final_token,S2_1P,0,0.7955,0.5005,0.3907,0.6039,0.4927,0.3307,0.65,0.4999,0.3817,0.607,0.8715,-0.076
final_token,S2_1P,1,0.799,0.5006,0.4047,0.6028,0.4936,0.3312,0.6415,0.5,0.3965,0.6018,0.8715,-0.0725
final_token,S2_1P,2,0.794,0.4975,0.3965,0.6005,0.5015,0.3357,0.6663,0.5025,0.3917,0.616,0.8715,-0.0775
final_token,S2_1P,3,0.809,0.4993,0.3892,0.6059,0.5043,0.351,0.677,0.4966,0.39,0.6038,0.8715,-0.0625
final_token,S2_1P,4,0.807,0.5008,0.3935,0.6085,0.4988,0.314,0.6703,0.497,0.3822,0.5995,0.8715,-0.0645
final_token,S2_1P,5,0.8215,0.497,0.3967,0.5956,0.4969,0.3295,0.6653,0.4965,0.3812,0.6018,0.8715,-0.05
final_token,S2_1P,6,0.8125,0.5018,0.4022,0.6048,0.5094,0.3449,0.6778,0.499,0.3885,0.6043,0.8715,-0.059
final_token,S2_1P,7,0.8475,0.5015,0.3975,0.609,0.5056,0.3225,0.6829,0.5017,0.3895,0.6013,0.8715,-0.024
final_token,S2_1P,8,0.841,0.4945,0.3802,0.6008,0.4971,0.3107,0.6988,0.4998,0.3949,0.5963,0.8715,-0.0305
final_token,S2_1P,9,0.8345,0.4998,0.3895,0.6036,0.4942,0.295,0.7044,0.5004,0.3982,0.603,0.8715,-0.037
final_token,S2_1P,10,0.8635,0.503,0.39,0.6135,0.5013,0.2992,0.6795,0.5013,0.3967,0.6028,0.8715,-0.008
final_token,S2_1P,11,0.864,0.4983,0.3979,0.615,0.5031,0.2985,0.6848,0.4989,0.3937,0.601,0.8715,-0.0075
final_token,S2_1P,12,0.863,0.4958,0.3949,0.6028,0.5004,0.3209,0.695,0.4978,0.3922,0.6003,0.8715,-0.0085
final_token,S2_1P,13,0.8825,0.5012,0.3932,0.607,0.4929,0.2842,0.6823,0.4991,0.3787,0.5998,0.8715,0.011
final_token,S2_1P,14,0.8735,0.5022,0.389,0.6196,0.4996,0.2927,0.6958,0.4991,0.3752,0.6018,0.8715,0.002
