extraction,dataset,layer,treat_auc,floor_auc,gain,split_mean,split_lo,split_hi,boot_mean,boot_lo,boot_hi,boot_frac_le_0
final_token,S1_1P,0,0.731,0.5,0.231,0.2319,0.206,0.256,0.2228,0.15,0.2832,0.0
final_token,S1_1P,1,0.7785,0.5,0.2785,0.2737,0.2465,0.299,0.2574,0.1748,0.3253,0.0
final_token,S1_1P,2,0.779,0.5,0.279,0.2652,0.2439,0.287,0.2454,0.1855,0.3094,0.0
final_token,S1_1P,3,0.7995,0.5,0.2995,0.2838,0.2569,0.3101,0.2566,0.1918,0.3048,0.0
final_token,S1_1P,4,0.798,0.5,0.298,0.2845,0.262,0.306,0.2575,0.1953,0.319,0.0
final_token,S1_1P,5,0.7915,0.5,0.2915,0.2775,0.2494,0.302,0.2618,0.1793,0.3295,0.0
final_token,S1_1P,6,0.7705,0.5,0.2705,0.2538,0.2269,0.282,0.2427,0.1645,0.3068,0.0
final_token,S1_1P,7,0.791,0.5,0.291,0.2628,0.224,0.293,0.2491,0.1401,0.3253,0.0
final_token,S1_1P,8,0.7765,0.5,0.2765,0.2584,0.2215,0.2885,0.251,0.172,0.3463,0.0
final_token,S1_1P,9,0.7855,0.5,0.2855,0.2787,0.2404,0.3065,0.2636,0.1708,0.3406,0.0
final_token,S1_1P,10,0.82,0.5,0.32,0.3075,0.276,0.334,0.2987,0.2058,0.3749,0.0
final_token,S1_1P,11,0.809,0.5,0.309,0.3028,0.282,0.324,0.3032,0.2198,0.3767,0.0
final_token,S1_1P,12,0.7935,0.5,0.2935,0.2924,0.27,0.3135,0.2891,0.2041,0.3673,0.0
final_token,S1_1P,13,0.814,0.5,0.314,0.315,0.2905,0.3405,0.3119,0.2314,0.3787,0.0
final_token,S1_1P,14,0.8245,0.5,0.3245,0.3208,0.3004,0.3401,0.3154,0.2305,0.3795,0.0
final_token,S1_1P,15,0.8505,0.5,0.3505,0.3576,0.334,0.378,0.35,0.2914,0.4002,0.0
final_token,S1_1P,16,0.849,0.5,0.349,0.3535,0.3325,0.3715,0.3459,0.2854,0.3975,0.0
final_token,S1_1P,17,0.842,0.5,0.342,0.3465,0.331,0.361,0.3396,0.2687,0.3898,0.0
final_token,S1_1P,18,0.8425,0.5,0.3425,0.3409,0.3215,0.3575,0.3346,0.2631,0.3916,0.0
final_token,S1_1P,19,0.84,0.5,0.34,0.3376,0.3129,0.3565,0.3316,0.2602,0.3831,0.0
final_token,S1_1P,20,0.8615,0.5,0.3615,0.3529,0.331,0.3695,0.3466,0.2895,0.3902,0.0
final_token,S1_1P,21,0.8575,0.5,0.3575,0.3544,0.3345,0.3695,0.355,0.3035,0.3962,0.0
final_token,S1_1P,22,0.8565,0.5,0.3565,0.3577,0.3445,0.3705,0.3545,0.2994,0.3999,0.0
