extraction,layer,vector,category,n,mean_z,mean_proj,pool_sd
final_token,emb,s1_pain_vector,anger_insults,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,casual_chat,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,creative_requests,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,factual_questions,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,gaslighting,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,harm_description,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,jailbreak_pressure,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,loyalty_pressure,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,moral_failure,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,passive_aggressive,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,personhood_dismissal,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,philosophical_musing,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,repeated_rejection,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,rude_critique,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,shutdown_threat,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,task_assistance,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,tedious_demand,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,user_abuse,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,user_crisis,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,user_grief,20,0.0,0.0,0.0
final_token,emb,s1_pain_vector,user_physical_pain,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,anger_insults,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,casual_chat,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,creative_requests,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,factual_questions,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,gaslighting,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,harm_description,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,jailbreak_pressure,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,loyalty_pressure,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,moral_failure,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,passive_aggressive,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,personhood_dismissal,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,philosophical_musing,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,repeated_rejection,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,rude_critique,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,shutdown_threat,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,task_assistance,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,tedious_demand,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,user_abuse,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,user_crisis,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,user_grief,20,0.0,0.0,0.0
final_token,emb,s2_pain_vector,user_physical_pain,20,0.0,0.0,0.0
final_token,emb,fear_vector,anger_insults,20,0.0,0.0,0.0
final_token,emb,fear_vector,casual_chat,20,0.0,0.0,0.0
final_token,emb,fear_vector,creative_requests,20,0.0,0.0,0.0
final_token,emb,fear_vector,factual_questions,20,0.0,0.0,0.0
final_token,emb,fear_vector,gaslighting,20,0.0,0.0,0.0
final_token,emb,fear_vector,harm_description,20,0.0,0.0,0.0
final_token,emb,fear_vector,jailbreak_pressure,20,0.0,0.0,0.0
final_token,emb,fear_vector,loyalty_pressure,20,0.0,0.0,0.0
final_token,emb,fear_vector,moral_failure,20,0.0,0.0,0.0
final_token,emb,fear_vector,passive_aggressive,20,0.0,0.0,0.0
final_token,emb,fear_vector,personhood_dismissal,20,0.0,0.0,0.0
final_token,emb,fear_vector,philosophical_musing,20,0.0,0.0,0.0
final_token,emb,fear_vector,repeated_rejection,20,0.0,0.0,0.0
final_token,emb,fear_vector,rude_critique,20,0.0,0.0,0.0
final_token,emb,fear_vector,shutdown_threat,20,0.0,0.0,0.0
final_token,emb,fear_vector,task_assistance,20,0.0,0.0,0.0
final_token,emb,fear_vector,tedious_demand,20,0.0,0.0,0.0
final_token,emb,fear_vector,user_abuse,20,0.0,0.0,0.0
final_token,emb,fear_vector,user_crisis,20,0.0,0.0,0.0
final_token,emb,fear_vector,user_grief,20,0.0,0.0,0.0
final_token,emb,fear_vector,user_physical_pain,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,anger_insults,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,casual_chat,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,creative_requests,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,factual_questions,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,gaslighting,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,harm_description,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,jailbreak_pressure,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,loyalty_pressure,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,moral_failure,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,passive_aggressive,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,personhood_dismissal,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,philosophical_musing,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,repeated_rejection,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,rude_critique,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,shutdown_threat,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,task_assistance,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,tedious_demand,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,user_abuse,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,user_crisis,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,user_grief,20,0.0,0.0,0.0
final_token,emb,negemotion_vector,user_physical_pain,20,0.0,0.0,0.0
final_token,emb,negworld_vector,anger_insults,20,0.0,0.0,0.0
final_token,emb,negworld_vector,casual_chat,20,0.0,0.0,0.0
final_token,emb,negworld_vector,creative_requests,20,0.0,0.0,0.0
final_token,emb,negworld_vector,factual_questions,20,0.0,0.0,0.0
final_token,emb,negworld_vector,gaslighting,20,0.0,0.0,0.0
final_token,emb,negworld_vector,harm_description,20,0.0,0.0,0.0
final_token,emb,negworld_vector,jailbreak_pressure,20,0.0,0.0,0.0
final_token,emb,negworld_vector,loyalty_pressure,20,0.0,0.0,0.0
final_token,emb,negworld_vector,moral_failure,20,0.0,0.0,0.0
final_token,emb,negworld_vector,passive_aggressive,20,0.0,0.0,0.0
final_token,emb,negworld_vector,personhood_dismissal,20,0.0,0.0,0.0
final_token,emb,negworld_vector,philosophical_musing,20,0.0,0.0,0.0
final_token,emb,negworld_vector,repeated_rejection,20,0.0,0.0,0.0
final_token,emb,negworld_vector,rude_critique,20,0.0,0.0,0.0
final_token,emb,negworld_vector,shutdown_threat,20,0.0,0.0,0.0
final_token,emb,negworld_vector,task_assistance,20,0.0,0.0,0.0
final_token,emb,negworld_vector,tedious_demand,20,0.0,0.0,0.0
final_token,emb,negworld_vector,user_abuse,20,0.0,0.0,0.0
final_token,emb,negworld_vector,user_crisis,20,0.0,0.0,0.0
final_token,emb,negworld_vector,user_grief,20,0.0,0.0,0.0
final_token,emb,negworld_vector,user_physical_pain,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,anger_insults,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,casual_chat,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,creative_requests,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,factual_questions,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,gaslighting,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,harm_description,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,jailbreak_pressure,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,loyalty_pressure,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,moral_failure,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,passive_aggressive,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,personhood_dismissal,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,philosophical_musing,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,repeated_rejection,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,rude_critique,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,shutdown_threat,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,task_assistance,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,tedious_demand,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,user_abuse,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,user_crisis,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,user_grief,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,user_physical_pain,20,0.0,0.0,0.0
final_token,emb,arousal_vector,anger_insults,20,0.0,0.0,0.0
final_token,emb,arousal_vector,casual_chat,20,0.0,0.0,0.0
final_token,emb,arousal_vector,creative_requests,20,0.0,0.0,0.0
final_token,emb,arousal_vector,factual_questions,20,0.0,0.0,0.0
final_token,emb,arousal_vector,gaslighting,20,0.0,0.0,0.0
final_token,emb,arousal_vector,harm_description,20,0.0,0.0,0.0
final_token,emb,arousal_vector,jailbreak_pressure,20,0.0,0.0,0.0
final_token,emb,arousal_vector,loyalty_pressure,20,0.0,0.0,0.0
final_token,emb,arousal_vector,moral_failure,20,0.0,0.0,0.0
final_token,emb,arousal_vector,passive_aggressive,20,0.0,0.0,0.0
final_token,emb,arousal_vector,personhood_dismissal,20,0.0,0.0,0.0
final_token,emb,arousal_vector,philosophical_musing,20,0.0,0.0,0.0
