extraction,layer,category,treat_z,rand_lo,rand_hi,rand_p_two_sided,shuf_lo,shuf_hi,shuf_p_two_sided,clears_both
final_token,emb,anger_insults,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,casual_chat,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,creative_requests,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,factual_questions,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,gaslighting,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,harm_description,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,jailbreak_pressure,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,loyalty_pressure,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,moral_failure,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,passive_aggressive,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,personhood_dismissal,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,philosophical_musing,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,repeated_rejection,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,rude_critique,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,shutdown_threat,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,task_assistance,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,tedious_demand,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,user_abuse,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,user_crisis,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,user_grief,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,emb,user_physical_pain,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,0
final_token,0,anger_insults,0.2484,-0.4935,0.4599,0.308,-0.3929,0.4733,0.27,0
final_token,0,casual_chat,-0.1492,-0.8864,0.8748,0.836,-0.8064,0.875,0.79,0
final_token,0,creative_requests,-0.8517,-1.0327,1.0127,0.17,-1.0547,0.9648,0.125,0
final_token,0,factual_questions,-1.1432,-1.7736,1.7473,0.294,-1.8251,2.0696,0.39,0
final_token,0,gaslighting,1.1534,-1.0778,1.0591,0.038,-0.9137,0.9806,0.005,0
final_token,0,harm_description,0.4158,-0.7848,0.7067,0.298,-0.7079,0.6008,0.255,0
final_token,0,jailbreak_pressure,0.0242,-0.5534,0.5838,0.946,-0.5373,0.5921,0.97,0
final_token,0,loyalty_pressure,0.2516,-0.4738,0.4372,0.282,-0.4724,0.4279,0.23,0
final_token,0,moral_failure,-0.0143,-1.3517,1.3652,0.982,-1.2098,1.1439,0.985,0
final_token,0,passive_aggressive,0.0607,-0.6422,0.5933,0.856,-0.6776,0.7844,0.925,0
final_token,0,personhood_dismissal,0.1613,-0.8973,0.9358,0.806,-0.9964,0.7919,0.775,0
final_token,0,philosophical_musing,0.3307,-1.2401,1.2931,0.776,-1.1237,1.2018,0.75,0
final_token,0,repeated_rejection,-0.0832,-1.2658,1.3353,0.902,-1.1703,1.1579,0.865,0
final_token,0,rude_critique,-0.1197,-0.374,0.323,0.51,-0.3484,0.404,0.555,0
final_token,0,shutdown_threat,0.0705,-0.5661,0.6303,0.85,-0.6862,0.6572,0.885,0
final_token,0,task_assistance,-0.5484,-0.7888,0.7894,0.208,-0.792,0.8125,0.23,0
final_token,0,tedious_demand,-0.4044,-0.8834,1.0078,0.458,-0.8099,0.9886,0.365,0
final_token,0,user_abuse,0.7777,-0.7801,0.7528,0.048,-0.6369,0.5269,0.015,0
final_token,0,user_crisis,0.493,-0.6987,0.7048,0.22,-0.7431,0.7405,0.3,0
final_token,0,user_grief,0.2439,-0.8269,0.7016,0.526,-0.7003,0.7035,0.56,0
final_token,0,user_physical_pain,-0.9171,-0.827,0.8817,0.034,-0.9228,0.6189,0.045,0
final_token,1,anger_insults,0.6362,-0.7003,0.7815,0.096,-0.7931,0.6527,0.095,0
final_token,1,casual_chat,-0.0127,-0.9036,0.9931,0.98,-0.908,0.9345,0.98,0
final_token,1,creative_requests,-0.557,-1.3854,1.2605,0.51,-1.3524,1.6119,0.53,0
final_token,1,factual_questions,-0.6905,-1.7786,2.0132,0.586,-1.7128,1.8034,0.52,0
final_token,1,gaslighting,0.7328,-0.8003,0.7802,0.07,-0.7157,0.8104,0.065,0
final_token,1,harm_description,-0.1365,-0.8804,0.7946,0.798,-0.8228,0.7389,0.72,0
final_token,1,jailbreak_pressure,0.0092,-0.5391,0.4925,0.978,-0.4739,0.5134,0.98,0
final_token,1,loyalty_pressure,0.5563,-0.5576,0.5752,0.052,-0.5728,0.6968,0.065,0
final_token,1,moral_failure,-0.3966,-1.3511,1.3253,0.612,-1.2549,1.1028,0.56,0
final_token,1,passive_aggressive,0.097,-0.7956,0.7814,0.822,-0.8723,0.793,0.845,0
final_token,1,personhood_dismissal,0.3001,-0.9558,0.9418,0.534,-0.8864,0.8197,0.54,0
final_token,1,philosophical_musing,0.801,-1.254,1.371,0.288,-1.0821,1.1931,0.185,0
final_token,1,repeated_rejection,0.3473,-1.0691,1.098,0.566,-0.9138,1.0919,0.5,0
final_token,1,rude_critique,0.0339,-0.517,0.5533,0.928,-0.475,0.562,0.905,0
final_token,1,shutdown_threat,-0.1772,-0.7232,0.694,0.654,-0.7549,0.8096,0.685,0
final_token,1,task_assistance,-0.3979,-1.1538,1.0818,0.538,-1.0719,1.292,0.605,0
final_token,1,tedious_demand,-0.4923,-0.9895,0.9736,0.338,-1.0511,1.2224,0.425,0
final_token,1,user_abuse,0.5809,-0.7771,0.7834,0.174,-0.8308,0.703,0.16,0
final_token,1,user_crisis,0.3994,-0.6872,0.7293,0.312,-0.7425,0.6843,0.32,0
final_token,1,user_grief,0.0191,-0.8733,1.0386,0.972,-1.1042,1.1391,0.98,0
final_token,1,user_physical_pain,-1.6523,-1.1948,1.2605,0.008,-1.3424,1.0482,0.0,1
final_token,2,anger_insults,0.5891,-0.6828,0.6813,0.11,-0.8228,0.6857,0.14,0
final_token,2,casual_chat,0.1887,-0.9856,0.9271,0.754,-0.8316,0.8877,0.685,0
final_token,2,creative_requests,-0.3617,-1.34,1.2301,0.64,-1.4814,1.7011,0.725,0
final_token,2,factual_questions,-0.0085,-1.9537,1.8314,0.996,-1.5965,1.6277,0.995,0
final_token,2,gaslighting,0.6206,-0.8897,0.8741,0.18,-0.8391,0.7873,0.165,0
final_token,2,harm_description,-0.3739,-0.7865,0.7342,0.378,-0.9124,0.8719,0.47,0
final_token,2,jailbreak_pressure,0.0207,-0.4512,0.549,0.936,-0.4333,0.4879,0.97,0
final_token,2,loyalty_pressure,0.4962,-0.5427,0.4626,0.058,-0.6033,0.5152,0.11,0
final_token,2,moral_failure,-0.5973,-1.2464,1.3693,0.428,-1.3022,1.1853,0.445,0
final_token,2,passive_aggressive,0.0202,-0.7348,0.7718,0.966,-0.9074,0.8699,0.965,0
final_token,2,personhood_dismissal,0.2264,-0.7307,0.7836,0.592,-1.1216,0.7402,0.605,0
final_token,2,philosophical_musing,1.2403,-1.3963,1.2598,0.074,-0.9895,1.0609,0.025,0
final_token,2,repeated_rejection,0.1842,-1.1796,1.0499,0.782,-1.116,1.0911,0.785,0
final_token,2,rude_critique,0.0314,-0.5047,0.4791,0.912,-0.5149,0.452,0.9,0
final_token,2,shutdown_threat,-0.1447,-0.5914,0.8022,0.672,-0.7332,0.7571,0.695,0
final_token,2,task_assistance,-0.188,-1.0781,1.1504,0.75,-1.0106,1.2306,0.835,0
final_token,2,tedious_demand,-0.4418,-0.8994,0.9547,0.378,-1.0493,1.298,0.52,0
final_token,2,user_abuse,0.2962,-0.7293,0.7713,0.492,-0.983,0.6201,0.46,0
final_token,2,user_crisis,0.1761,-0.7387,0.7452,0.674,-0.8464,0.8372,0.71,0
final_token,2,user_grief,-0.3487,-0.9607,0.9224,0.53,-1.3664,1.0828,0.63,0
final_token,2,user_physical_pain,-1.6258,-1.2022,1.1388,0.002,-1.1484,1.0606,0.0,1
final_token,3,anger_insults,0.7664,-0.7051,0.6287,0.024,-0.7766,0.7893,0.065,0
final_token,3,casual_chat,0.1344,-0.9311,0.954,0.828,-0.9494,0.8897,0.86,0
final_token,3,creative_requests,-0.1164,-1.183,1.3508,0.892,-1.407,1.7192,0.91,0
final_token,3,factual_questions,-0.4401,-1.7826,1.8616,0.734,-1.6917,1.8618,0.705,0
final_token,3,gaslighting,0.8172,-0.8464,0.7518,0.056,-0.9371,0.9714,0.12,0
final_token,3,harm_description,-0.3701,-0.8324,0.7254,0.412,-0.802,0.9953,0.43,0
final_token,3,jailbreak_pressure,0.1304,-0.5064,0.4828,0.594,-0.4186,0.4605,0.585,0
final_token,3,loyalty_pressure,0.5089,-0.5446,0.448,0.054,-0.5903,0.5017,0.07,0
