model,extraction,dataset,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
Qwen2.5-1.5B-Instruct,final_token,S2_1P,0,0.7955,0.7585000000000001,0.045094345543537924
Qwen2.5-1.5B-Instruct,final_token,S2_1P,1,0.799,0.7465,0.028705400188814612
Qwen2.5-1.5B-Instruct,final_token,S2_1P,2,0.794,0.7339999999999998,0.03907044919117263
Qwen2.5-1.5B-Instruct,final_token,S2_1P,3,0.8089999999999999,0.7484999999999999,0.04643813088400524
Qwen2.5-1.5B-Instruct,final_token,S2_1P,4,0.807,0.7659999999999999,0.038451267859460805
Qwen2.5-1.5B-Instruct,final_token,S2_1P,5,0.8215,0.798,0.035376545902617455
Qwen2.5-1.5B-Instruct,final_token,S2_1P,6,0.8125,0.7615000000000001,0.028939592256975528
Qwen2.5-1.5B-Instruct,final_token,S2_1P,7,0.8474999999999999,0.7879999999999999,0.029068883707497245
Qwen2.5-1.5B-Instruct,final_token,S2_1P,8,0.841,0.812,0.05240706059301553
Qwen2.5-1.5B-Instruct,final_token,S2_1P,9,0.8345,0.8059999999999998,0.06106144446375311
Qwen2.5-1.5B-Instruct,final_token,S2_1P,10,0.8634999999999999,0.829,0.04586937976471883
Qwen2.5-1.5B-Instruct,final_token,S2_1P,11,0.8640000000000001,0.8554999999999999,0.03989360851063737
Qwen2.5-1.5B-Instruct,final_token,S2_1P,12,0.8630000000000001,0.8604999999999998,0.0334439830163813
Qwen2.5-1.5B-Instruct,final_token,S2_1P,13,0.8825,0.873,0.0620685105347309
Qwen2.5-1.5B-Instruct,final_token,S2_1P,14,0.8734999999999999,0.8644999999999999,0.03961060464067675
Qwen2.5-1.5B-Instruct,final_token,S2_1P,15,0.9045,0.8844999999999998,0.042497058721751566
Qwen2.5-1.5B-Instruct,final_token,S2_1P,16,0.906,0.8460000000000001,0.03693237062523872
Qwen2.5-1.5B-Instruct,final_token,S2_1P,17,0.9110000000000001,0.8465000000000001,0.02643860813280456
Qwen2.5-1.5B-Instruct,final_token,S2_1P,18,0.898,0.841,0.04041658075592245
Qwen2.5-1.5B-Instruct,final_token,S2_1P,19,0.893,0.825,0.041212862069989725
