extraction,layer,theirs_S1_1P,ours_S1_1P,theirs_S1_3P,ours_S1_3P,theirs_mean,ours_mean,delta
final_token,0,0.685,0.6815,0.7729999999999999,0.772,0.729,0.7268,-0.0022
final_token,1,0.7775000000000001,0.7775,0.8109999999999999,0.813,0.7943,0.7953,0.001
final_token,2,0.7909999999999999,0.791,0.8135,0.8145,0.8022,0.8027,0.0005
final_token,3,0.8010000000000002,0.8035,0.8099999999999999,0.8095,0.8055,0.8065,0.001
final_token,4,0.8379999999999999,0.838,0.7995,0.796,0.8187,0.817,-0.0017
final_token,5,0.7899999999999999,0.794,0.8104999999999999,0.81,0.8002,0.802,0.0018
final_token,6,0.8640000000000001,0.8635,0.8344999999999999,0.835,0.8493,0.8492,-0.0
final_token,7,0.877,0.8795,0.8300000000000001,0.8305,0.8535,0.855,0.0015
final_token,8,0.8985,0.8985,0.8495000000000001,0.8485,0.874,0.8735,-0.0005
final_token,9,0.9400000000000001,0.9395,0.915,0.914,0.9275,0.9267,-0.0008
final_token,10,0.9550000000000001,0.9545,0.9075000000000001,0.91,0.9313,0.9323,0.001
final_token,11,0.944,0.9445,0.9019999999999999,0.9015,0.923,0.923,0.0
final_token,12,0.9254999999999999,0.9255,0.8975,0.897,0.9115,0.9112,-0.0003
final_token,13,0.922,0.9235,0.8925000000000001,0.893,0.9073,0.9083,0.001
final_token,14,0.9175000000000001,0.918,0.9045000000000002,0.9035,0.911,0.9108,-0.0003
final_token,15,0.9120000000000001,0.912,0.8970000000000002,0.8975,0.9045,0.9048,0.0002
final_token,16,0.907,0.907,0.9075,0.9055,0.9073,0.9062,-0.001
final_token,17,0.9125000000000002,0.9125,0.909,0.909,0.9108,0.9108,0.0
final_token,18,0.9015000000000001,0.902,0.8915000000000001,0.8915,0.8965,0.8967,0.0002
final_token,19,0.9035,0.903,0.8889999999999999,0.8895,0.8962,0.8962,0.0
final_token,20,0.9015000000000001,0.901,0.89,0.8905,0.8958,0.8958,0.0
final_token,21,0.9035,0.9025,0.8815,0.8805,0.8925,0.8915,-0.001
final_token,22,0.8954999999999999,0.8965,0.8985,0.8965,0.897,0.8965,-0.0005
final_token,23,0.899,0.8995,0.8844999999999998,0.887,0.8917,0.8932,0.0015
final_token,24,0.8939999999999999,0.894,0.8815000000000002,0.8825,0.8878,0.8882,0.0005
final_token,25,0.9065,0.904,0.8734999999999999,0.8735,0.89,0.8887,-0.0012
final_token,26,0.9204999999999999,0.92,0.8695,0.866,0.895,0.893,-0.002
final_token,27,0.909,0.909,0.8535,0.851,0.8813,0.88,-0.0013
final_token,28,0.9225,0.9225,0.8700000000000001,0.8685,0.8962,0.8955,-0.0008
final_token,29,0.9299999999999999,0.931,0.8795000000000002,0.88,0.9048,0.9055,0.0008
final_token,30,0.9259999999999999,0.9255,0.876,0.8735,0.901,0.8995,-0.0015
final_token,31,0.924,0.925,0.8765000000000001,0.8735,0.9002,0.8993,-0.001
final_token,32,0.9165000000000001,0.9165,0.8640000000000001,0.865,0.8903,0.8907,0.0005
final_token,33,0.9215,0.922,0.8724999999999999,0.8725,0.897,0.8973,0.0003
final_token,34,0.9259999999999999,0.9265,0.8745,0.873,0.9002,0.8998,-0.0005
final_token,35,0.9225,0.9225,0.868,0.868,0.8952,0.8952,0.0
final_token,36,0.9189999999999999,0.919,0.8674999999999999,0.866,0.8932,0.8925,-0.0007
final_token,37,0.9215,0.9215,0.8625,0.8615,0.892,0.8915,-0.0005
final_token,38,0.9315,0.9315,0.8685,0.868,0.9,0.8998,-0.0002
final_token,39,0.9274999999999999,0.9265,0.868,0.866,0.8977,0.8962,-0.0015
final_token,40,0.9259999999999999,0.926,0.8850000000000001,0.8845,0.9055,0.9052,-0.0002
final_token,41,0.9235,0.9225,0.8789999999999999,0.8775,0.9012,0.9,-0.0012
mean,0,0.8175000000000001,0.8185,0.8504999999999999,0.85,0.834,0.8342,0.0002
mean,1,0.8424999999999999,0.8435,0.8660000000000002,0.866,0.8543,0.8548,0.0005
mean,2,0.8435,0.844,0.8734999999999999,0.874,0.8585,0.859,0.0005
mean,3,0.8459999999999999,0.846,0.867,0.869,0.8565,0.8575,0.001
mean,4,0.8585,0.8575,0.8655000000000002,0.866,0.862,0.8618,-0.0003
mean,5,0.861,0.861,0.8785000000000001,0.879,0.8698,0.87,0.0002
mean,6,0.8765000000000001,0.8765,0.8870000000000001,0.8875,0.8818,0.882,0.0002
mean,7,0.8774999999999998,0.8785,0.8879999999999999,0.887,0.8827,0.8827,0.0
mean,8,0.8939999999999999,0.8945,0.8950000000000001,0.8965,0.8945,0.8955,0.001
mean,9,0.9225,0.922,0.9095000000000001,0.91,0.916,0.916,-0.0
mean,10,0.93,0.93,0.9269999999999999,0.927,0.9285,0.9285,0.0
mean,11,0.925,0.925,0.922,0.921,0.9235,0.923,-0.0005
mean,12,0.9259999999999999,0.926,0.9225,0.9225,0.9243,0.9243,0.0
mean,13,0.9279999999999999,0.928,0.9205,0.92,0.9243,0.924,-0.0003
mean,14,0.9129999999999999,0.9135,0.9135,0.9135,0.9132,0.9135,0.0003
mean,15,0.9244999999999999,0.9245,0.9255000000000001,0.9255,0.925,0.925,0.0
mean,16,0.9215,0.9215,0.9149999999999998,0.915,0.9182,0.9182,0.0
mean,17,0.9219999999999999,0.9215,0.93,0.9335,0.926,0.9275,0.0015
mean,18,0.9229999999999998,0.923,0.9315,0.9315,0.9272,0.9272,0.0
mean,19,0.9259999999999999,0.9255,0.9315,0.931,0.9287,0.9283,-0.0005
mean,20,0.9295,0.9265,0.9355,0.935,0.9325,0.9307,-0.0018
mean,21,0.9315,0.932,0.9324999999999999,0.9355,0.932,0.9338,0.0018
mean,22,0.932,0.9315,0.9295,0.931,0.9307,0.9313,0.0005
mean,23,0.937,0.937,0.925,0.924,0.931,0.9305,-0.0005
mean,24,0.9315,0.931,0.922,0.922,0.9267,0.9265,-0.0002
mean,25,0.942,0.9415,0.9255000000000001,0.9235,0.9338,0.9325,-0.0013
mean,26,0.937,0.937,0.9339999999999999,0.9345,0.9355,0.9358,0.0003
mean,27,0.9315000000000001,0.931,0.9425000000000001,0.9435,0.937,0.9372,0.0002
mean,28,0.9375,0.9375,0.9395,0.9385,0.9385,0.938,-0.0005
mean,29,0.9389999999999998,0.939,0.9504999999999999,0.95,0.9447,0.9445,-0.0002
mean,30,0.9425000000000001,0.943,0.9515,0.9515,0.947,0.9472,0.0002
mean,31,0.9395,0.94,0.9550000000000001,0.9545,0.9473,0.9472,-0.0
mean,32,0.9400000000000001,0.94,0.954,0.954,0.947,0.947,0.0
mean,33,0.9295,0.93,0.9535,0.9535,0.9415,0.9418,0.0003
mean,34,0.9285,0.928,0.9555,0.9555,0.942,0.9417,-0.0002
mean,35,0.929,0.929,0.9550000000000001,0.955,0.942,0.942,0.0
mean,36,0.9305,0.93,0.9550000000000001,0.9555,0.9427,0.9427,0.0
mean,37,0.9295,0.9295,0.9545,0.9555,0.942,0.9425,0.0005
mean,38,0.9315,0.9315,0.9540000000000001,0.955,0.9427,0.9432,0.0005
mean,39,0.9375,0.937,0.9570000000000001,0.957,0.9473,0.947,-0.0002
mean,40,0.9309999999999998,0.931,0.9525,0.9525,0.9417,0.9417,0.0
mean,41,0.9295,0.929,0.9504999999999999,0.951,0.94,0.94,0.0
