model,extraction,dataset,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
Gemma_2_9B_instruct,final_token,S1_1P,0,0.6814999999999999,0.742,0.057065751550295016
Gemma_2_9B_instruct,final_token,S1_1P,1,0.7775000000000001,0.7825,0.06076594440967736
Gemma_2_9B_instruct,final_token,S1_1P,2,0.7909999999999999,0.773,0.07180877383718512
Gemma_2_9B_instruct,final_token,S1_1P,3,0.8035,0.7819999999999999,0.07510991945142799
Gemma_2_9B_instruct,final_token,S1_1P,4,0.8380000000000001,0.7785,0.01519868415357067
Gemma_2_9B_instruct,final_token,S1_1P,5,0.794,0.7879999999999999,0.03672873534441392
Gemma_2_9B_instruct,final_token,S1_1P,6,0.8634999999999999,0.8219999999999998,0.026296387584609417
Gemma_2_9B_instruct,final_token,S1_1P,7,0.8795,0.826,0.04054010360124898
Gemma_2_9B_instruct,final_token,S1_1P,8,0.8985,0.8225,0.04864668539582115
Gemma_2_9B_instruct,final_token,S1_1P,9,0.9395,0.8485000000000001,0.030058276730378294
Gemma_2_9B_instruct,final_token,S1_1P,10,0.9545,0.858,0.02661766330841229
Gemma_2_9B_instruct,final_token,S1_1P,11,0.9445,0.8595,0.029171904291629636
Gemma_2_9B_instruct,final_token,S1_1P,12,0.9254999999999999,0.8585,0.025709920264364878
Gemma_2_9B_instruct,final_token,S1_1P,13,0.9235,0.8564999999999999,0.023216373532487775
Gemma_2_9B_instruct,final_token,S1_1P,14,0.9180000000000001,0.8604999999999998,0.027721832551258225
Gemma_2_9B_instruct,final_token,S1_1P,15,0.9119999999999999,0.8550000000000001,0.04163532154313211
Gemma_2_9B_instruct,final_token,S1_1P,16,0.907,0.8535,0.039793215502143035
Gemma_2_9B_instruct,final_token,S1_1P,17,0.9125000000000002,0.8565000000000002,0.03636619309193636
Gemma_2_9B_instruct,final_token,S1_1P,18,0.9019999999999999,0.859,0.04757625458146113
Gemma_2_9B_instruct,final_token,S1_1P,19,0.9029999999999999,0.857,0.029555033412263263
Gemma_2_9B_instruct,final_token,S1_1P,20,0.9010000000000001,0.8404999999999999,0.04051542915976582
Gemma_2_9B_instruct,final_token,S1_1P,21,0.9024999999999999,0.8290000000000001,0.0430406784333147
Gemma_2_9B_instruct,final_token,S1_1P,22,0.8965,0.8225,0.03861994303465504
Gemma_2_9B_instruct,final_token,S1_1P,23,0.8995000000000001,0.8135,0.03689173349139345
Gemma_2_9B_instruct,final_token,S1_1P,24,0.8939999999999999,0.8135,0.0337490740613724
Gemma_2_9B_instruct,final_token,S1_1P,25,0.9039999999999999,0.8130000000000001,0.03572814016989973
Gemma_2_9B_instruct,final_token,S1_1P,26,0.9199999999999999,0.819,0.03697972417420118
Gemma_2_9B_instruct,final_token,S1_1P,27,0.909,0.8229999999999998,0.041940433951021566
Gemma_2_9B_instruct,final_token,S1_1P,28,0.9225,0.8024999999999999,0.03380088756231113
Gemma_2_9B_instruct,final_token,S1_1P,29,0.931,0.8029999999999999,0.033637776383108324
Gemma_2_9B_instruct,final_token,S1_1P,30,0.9255000000000001,0.7969999999999999,0.0362767142944341
Gemma_2_9B_instruct,final_token,S1_1P,31,0.925,0.792,0.03657184709581948
Gemma_2_9B_instruct,final_token,S1_1P,32,0.9164999999999999,0.7995000000000001,0.0335633728936768
Gemma_2_9B_instruct,final_token,S1_1P,33,0.9219999999999999,0.807,0.03403674485023502
Gemma_2_9B_instruct,final_token,S1_1P,34,0.9265000000000001,0.8055,0.03227227912620988
Gemma_2_9B_instruct,final_token,S1_1P,35,0.9225,0.8045,0.03667424164178449
Gemma_2_9B_instruct,final_token,S1_1P,36,0.9189999999999999,0.808,0.035937445652132805
Gemma_2_9B_instruct,final_token,S1_1P,37,0.9215,0.8074999999999999,0.03750333318519836
Gemma_2_9B_instruct,final_token,S1_1P,38,0.9315,0.805,0.03378609181305233
Gemma_2_9B_instruct,final_token,S1_1P,39,0.9264999999999999,0.7969999999999999,0.0354471437495322
Gemma_2_9B_instruct,final_token,S1_1P,40,0.9259999999999999,0.7985,0.02918047292282974
Gemma_2_9B_instruct,final_token,S1_1P,41,0.9225,0.7985,0.03174114049620775
Gemma_2_9B_instruct,final_token,S1_3P,0,0.772,0.7674999999999998,0.06382397668588193
